metric,value
fits_file,kplr000757450-2009350155506_llc.fits
flux_source,PDCSAP_FLUX
raw_point_count,4370
clean_point_count,4134
removed_point_count,236
lomb_scargle_period_days,19.400500552936382
lomb_scargle_period_uncertainty_days,1.902048756997532
lomb_scargle_peak_power,0.756635232459604
lomb_scargle_false_alarm_level,0.007351180835565611
sinusoid_fitted_period_days,19.401276172751572
sinusoid_period_uncertainty_days,0.01953418603378275
period_peak_lower_bound_days,21.620756756756755
period_peak_upper_bound_days,17.81665924276169
residual_rms,0.0033076733398227846
residual_std,0.003308073469666361
